Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2015/2/26, 17:00:00, 18203, 18203, 18117, 18149, 82389, 57013, 41672, 40717
2015/3/1, 17:00:00, 18144, 18270, 18123, 18251, 97269, 65142, 48225, 49044
2015/3/2, 17:00:00, 18248, 18255, 18120, 18183, 98118, 67232, 49409, 48709
2015/3/3, 17:00:00, 18186, 18186, 18013, 18085, 117750, 81123, 59167, 58583
2015/3/4, 17:00:00, 18089, 18148, 18071, 18116, 89372, 62029, 44890, 44482
2015/3/5, 17:00:00, 18120, 18155, 17811, 17868, 183391, 121475, 92356, 91035
2015/3/8, 17:00:00, 17875, 18020, 17817, 17969, 98744, 69348, 50863, 47881
2015/3/9, 17:00:00, 17972, 17975, 17656, 17682, 168444, 112873, 84617, 83827
2015/3/10, 17:00:00, 17681, 17734, 17618, 17660, 126425, 86764, 63335, 63090
2015/3/11, 17:00:00, 17657, 17899, 17636, 17879, 104401, 73814, 51777, 52624
2015/3/12, 17:00:00, 17792, 17828, 17547, 17667, 108880, 76310, 54652, 54228
2015/3/15, 17:00:00, 17654, 17913, 17611, 17848, 91679, 64054, 45494, 46185
2015/3/16, 17:00:00, 17842, 17877, 17701, 17774, 102400, 72478, 49587, 52813
2015/3/17, 17:00:00, 17770, 18017, 17609, 17991, 162177, 115883, 78670, 83507
2015/3/18, 17:00:00, 17992, 18046, 17847, 17882, 116895, 84951, 58404, 58491
2015/3/19, 17:00:00, 17880, 18117, 17874, 18030, 112761, 83755, 57024, 55737
2015/3/22, 17:00:00, 18032, 18126, 17981, 18020, 73367, 53762, 36683, 36684
2015/3/23, 17:00:00, 18015, 18078, 17927, 17944, 108819, 76513, 53872, 54947
2015/3/24, 17:00:00, 17945, 17967, 17628, 17663, 162496, 110873, 83686, 78810
2015/3/25, 17:00:00, 17666, 17679, 17465, 17616, 179444, 126945, 91046, 88398
2015/3/26, 17:00:00, 17612, 17678, 17535, 17624, 113344, 82252, 57968, 55376
